48814732,331710882920,908611282160,LinkedLineItem,400000000226109000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,LoadBalancerUsage,LoadBalancing,3746814,$0.025 per LoadBalancer-hour (or partial hour),06/01/2015 16:09:00,31/01/2015 23:59:00,564,00000000,0,0250000000,USD,14,10,0,00,0,None,14,10
48814732,331710882920,908611282160,LinkedLineItem,400000000226109000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,CW:Requests,,3746803,$0.01 per 1,000 requests,08/01/2015 20:29:00,31/01/2015 23:59:00,906.718,00000000,0,0000100000,USD,9,07,0,00,0,None,9,07
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonSNS,Amazon Simple Notification Service,Amazon Web Services, Inc.,USW1-Requests-Tier1,,3305160,First 1,000,000 Amazon SNS API Requests per month are free,06/01/2015 16:11:00,31/01/2015 23:59:00,10,00000000,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000223687000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,APN1-DataTransfer-In-Bytes,,3510893,$0.000 per GB - data transfer in per month,06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000043,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224759000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,ElasticIP:Remap,,3746747,$0.00 per Elastic IP address remap - first 100 remaps / month,08/01/2015 20:29:00,13/01/2015 21:00:00,9,00000000,0,0777777778,USD,0,70,0,00,0,None,0,70
48814732,331710882920,908611282160,LinkedLineItem,400000000236113000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-SAE1-AWS-Out-Bytes,,3510829,$0.02 per GB - US East (Northern Virginia) data transfer to South America (Sao Paulo),06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000007,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000221802000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-APN1-AWS-Out-Bytes,,3510827,$0.02 per GB - US East (Northern Virginia) data transfer to Asia Pacific (Tokyo),06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000163,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonSNS,Amazon Simple Notification Service,Amazon Web Services, Inc.,EUC1-Requests-Tier1,,3305167,First 1,000,000 Amazon SNS API Requests per month are free,06/01/2015 16:11:00,31/01/2015 23:59:00,9,00000000,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000226064000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,EBSOptimized:m3.xlarge,Hourly,3746578,$0.025 for 500 Mbps per m3.xlarge instance-hour (or partial hour),20/01/2015 11:03:00,26/01/2015 12:30:00,6,00000000,0,0250000000,USD,0,15,0,00,0,None,0,15
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,APS2-DataTransfer-In-Bytes,,3510843,$0.000 per GB - data transfer in per month,06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000043,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000223687000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonSNS,Amazon Simple Notification Service,Amazon Web Services, Inc.,EU-DeliveryAttempts-SQS,,3305178,There is no charge for SQS Notifications,06/01/2015 16:11:00,31/01/2015 23:59:00,3,00000000,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224947000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-EUC1-AWS-In-Bytes,,3510820,$0.00 per GB - US East (Northern Virginia) data transfer from EUC1 (FRA),06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000014,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000226109000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Web Services, Inc.,ElasticIP:IdleAddress,,3746748,$0.005 per Elastic IP address not attached to a running instance per hour (prorated),06/01/2015 16:09:00,31/01/2015 23:59:00,2.158,80000000,0,0050000000,USD,10,79,0,00,0,None,10,79
48814732,331710882920,908611282160,LinkedLineItem,400000000225791000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-APS2-AWS-In-Bytes,,3510824,$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Sydney),06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000044,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000224680000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,APS2-DataTransfer-Out-Bytes,,3510842,$0.000 per GB - first 1 GB of data transferred out per month,06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000427,0,0000000000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000220751000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AmazonS3,Amazon Simple Storage Service,Amazon Web Services, Inc.,Requests-Tier1,,3309725,$0.005 per 1,000 PUT, COPY, POST, or LIST requests,06/01/2015 16:11:00,31/01/2015 23:59:00,81,00000000,0,0000050000,USD,0,00,0,00,0,None,0,00
48814732,331710882920,908611282160,LinkedLineItem,400000000225791000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Anhanguera FV,Av. Eng. Luiz Carlos Berrini 550, cj.32, Sao Paulo, SP, 04571000, BR,,AWSDataTransfer,AWS Data Transfer,Amazon Web Services, Inc.,USE1-APS1-AWS-In-Bytes,,3510826,$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Singapore),06/01/2015 16:09:00,31/01/2015 23:59:00,0,00000044,0,0000000000,USD,0,00,0,00,0,None,0,00
