48814732,331710882920,979915476758,LinkedLineItem,400000000225724000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Voopter Internet do Brasil SA,"Rua Caminhoa 17, Rio de Janeiro, Rio de Janeiro, 22460-230, BR",,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",SAE1-ElasticIP:IdleAddress,,3746739,$0.00 per Elastic IP address not attached to a running instance for the first hour,01/01/2015 00:00:00,06/01/2015 08:00:00,"384,00000000","0,0049994089",USD,"1,92","0,00",0,None,"1,92"
48814732,331710882920,979915476758,LinkedLineItem,400000000230049000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Voopter Internet do Brasil SA,"Rua Caminhoa 17, Rio de Janeiro, Rio de Janeiro, 22460-230, BR",,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",BoxUsage:c3.xlarge,RunInstances,2252754,"USD 0.078 per Linux/UNIX, c3.xlarge instance-hour (or partial hour)",01/01/2015 00:00:00,26/01/2015 12:30:00,"869,00000000","0,1950305293",USD,"169,48","0,00",0,None,"169,48"
48814732,331710882920,979915476758,LinkedLineItem,400000000232014000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Voopter Internet do Brasil SA,"Rua Caminhoa 17, Rio de Janeiro, Rio de Janeiro, 22460-230, BR",,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",SAE1-EBS:SnapshotUsage,,3746602,$0.13 per GB-Month of snapshot data stored - South America (Sao Paulo),01/01/2015 00:00:00,31/01/2015 23:59:00,"84,24636021","0,1300000258",USD,"10,95","0,00",0,None,"10,95"
48814732,331710882920,979915476758,LinkedLineItem,400000000221346000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Voopter Internet do Brasil SA,"Rua Caminhoa 17, Rio de Janeiro, Rio de Janeiro, 22460-230, BR",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USE1-USW2-AWS-Out-Bytes,,3510833,$0.02 per GB - US East (Northern Virginia) data transfer to US West (Oregon),01/01/2015 00:00:00,31/01/2015 23:59:00,"0,14579331","0,0200009177",USD,"0,00","0,00",0,None,"0,00"
48814732,331710882920,979915476758,LinkedLineItem,400000000227105000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Voopter Internet do Brasil SA,"Rua Caminhoa 17, Rio de Janeiro, Rio de Janeiro, 22460-230, BR",,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",EBS:VolumeUsage,,3746617,$0.05 per GB-month of Magnetic provisioned storage - US East (Northern Virginia),01/01/2015 00:00:00,31/01/2015 23:59:00,"1.430,90053818","0,0500000001",USD,"71,55","0,00",0,None,"71,55"
48814732,331710882920,979915476758,LinkedLineItem,400000000221400000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Voopter Internet do Brasil SA,"Rua Caminhoa 17, Rio de Janeiro, Rio de Janeiro, 22460-230, BR",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",USE1-EU-AWS-In-Bytes,,3510822,$0.00 per GB - US East (Northern Virginia) data transfer from EU (Ireland),01/01/2015 00:00:00,31/01/2015 23:59:00,"0,00042941","0,0000000000",USD,"0,00","0,00",0,None,"0,00"
48814732,331710882920,979915476758,LinkedLineItem,400000000225424000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Voopter Internet do Brasil SA,"Rua Caminhoa 17, Rio de Janeiro, Rio de Janeiro, 22460-230, BR",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",EU-DataTransfer-Out-Bytes,,3510878,$0.000 per GB - first 1 GB of data transferred out per month,01/01/2015 00:00:00,31/01/2015 23:59:00,"0,00000748","0,0000000000",USD,"0,00","0,00",0,None,"0,00"
48814732,331710882920,979915476758,LinkedLineItem,400000000230049000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Voopter Internet do Brasil SA,"Rua Caminhoa 17, Rio de Janeiro, Rio de Janeiro, 22460-230, BR",,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",BoxUsage:m1.medium,RunInstances,1029991,"USD 0.042 per Linux/UNIX, m1.medium instance-hour (or partial hour)",08/01/2015 20:29:00,20/01/2015 11:03:00,"213,00000000","0,0561868028",USD,"11,97","0,00",0,None,"11,97"
48814732,331710882920,979915476758,LinkedLineItem,400000000235065000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Voopter Internet do Brasil SA,"Rua Caminhoa 17, Rio de Janeiro, Rio de Janeiro, 22460-230, BR",,AmazonEC2,Amazon Elastic Compute Cloud,"Amazon Web Services, Inc.",SAE1-CW:AlarmMonitorUsage,,3746762,$0.135 per alarm-month,06/01/2015 08:00:00,31/01/2015 23:59:00,"1,65591272","0,1349998688",USD,"0,22","0,00",0,None,"0,22"
48814732,331710882920,979915476758,LinkedLineItem,400000000223700000,01/01/2015 00:00:00,31/01/2015 23:59:00,03/02/2015 08:47:00,Dedalus Consolidada,Voopter Internet do Brasil SA,"Rua Caminhoa 17, Rio de Janeiro, Rio de Janeiro, 22460-230, BR",,AmazonCloudFront,Amazon CloudFront,"Amazon Web Services, Inc.",SA-Requests-HTTP-Proxy,,3445921,"$0.0160 per 10,000 Proxy HTTP Requests (South America)",01/01/2015 00:00:00,31/01/2015 23:59:00,"2,00000000","0,0000015000",USD,"0,00","0,00",0,None,"0,00"
